date,item,item_name,dept,dow,holiday,is_closed,tmax_f,weather,snow_tomorrow,payday,produced,sold,wasted,stockout,unit_price,unit_cost,true_demand,lost_sales,true_mean
2023-01-01,pizza-whole,Whole Pizza,Pizza,6,new_years_day,0,50.9,sunny,0,1,21.0,17.0,4.0,0,7.99,2.6,17.0,0.0,20.89
2023-01-01,pizza-slice,Pizza Slice,Pizza,6,new_years_day,0,50.9,sunny,0,1,24.0,24.0,0.0,1,3.49,0.9,29.0,5.0,23.007
2023-01-01,doughnut,Doughnut,Bakery,6,new_years_day,0,50.9,sunny,0,1,132.0,132.0,0.0,1,1.19,0.25,137.0,5.0,137.823
2023-01-01,cake,Cake,Bakery,6,new_years_day,0,50.9,sunny,0,1,6.0,5.0,1.0,0,12.99,4.5,5.0,0.0,4.95
2023-01-01,bread,Bread Loaf,Bakery,6,new_years_day,0,50.9,sunny,0,1,28.0,26.0,2.0,0,3.99,1.1,26.0,0.0,28.297
2023-01-01,rotisserie,Rotisserie Chicken,Hot Foods,6,new_years_day,0,50.9,sunny,0,1,52.0,52.0,0.0,1,7.99,3.2,65.0,13.0,51.809
2023-01-01,hotbar-lb,Hot Bar (per lb),Hot Foods,6,new_years_day,0,50.9,sunny,0,1,45.0,43.0,2.0,0,9.99,3.5,43.0,0.0,52.225
2023-01-01,sushi,Sushi Roll,Fresh Foods,6,new_years_day,0,50.9,sunny,0,1,20.0,12.0,8.0,0,8.99,3.8,12.0,0.0,14.868
2023-01-01,sub,Sub / Sandwich,Fresh Foods,6,new_years_day,0,50.9,sunny,0,1,15.0,13.0,2.0,0,5.99,1.8,13.0,0.0,11.325
2023-01-02,pizza-whole,Whole Pizza,Pizza,0,,0,52.5,cloudy,0,1,17.0,16.0,1.0,0,7.99,2.6,16.0,0.0,15.925
2023-01-02,pizza-slice,Pizza Slice,Pizza,0,,0,52.5,cloudy,0,1,40.0,36.0,4.0,0,3.49,0.9,36.0,0.0,32.879
2023-01-02,doughnut,Doughnut,Bakery,0,,0,52.5,cloudy,0,1,96.0,71.0,25.0,0,1.19,0.25,71.0,0.0,75.0
2023-01-02,cake,Cake,Bakery,0,,0,52.5,cloudy,0,1,4.0,3.0,1.0,0,12.99,4.5,3.0,0.0,3.216
2023-01-02,bread,Bread Loaf,Bakery,0,,0,52.5,cloudy,0,1,28.0,26.0,2.0,0,3.99,1.1,26.0,0.0,26.936
2023-01-02,rotisserie,Rotisserie Chicken,Hot Foods,0,,0,52.5,cloudy,0,1,44.0,44.0,0.0,1,7.99,3.2,48.0,4.0,39.713
2023-01-02,hotbar-lb,Hot Bar (per lb),Hot Foods,0,,0,52.5,cloudy,0,1,55.0,55.0,0.0,1,9.99,3.5,64.7,9.700000000000003,60.414
2023-01-02,sushi,Sushi Roll,Fresh Foods,0,,0,52.5,cloudy,0,1,23.0,18.0,5.0,0,8.99,3.8,18.0,0.0,18.712
2023-01-02,sub,Sub / Sandwich,Fresh Foods,0,,0,52.5,cloudy,0,1,23.0,19.0,4.0,0,5.99,1.8,19.0,0.0,17.657
2023-01-03,pizza-whole,Whole Pizza,Pizza,1,,0,46.1,rain,0,1,15.0,10.0,5.0,0,7.99,2.6,10.0,0.0,13.443
2023-01-03,pizza-slice,Pizza Slice,Pizza,1,,0,46.1,rain,0,1,40.0,28.0,12.0,0,3.49,0.9,28.0,0.0,29.602
2023-01-03,doughnut,Doughnut,Bakery,1,,0,46.1,rain,0,1,72.0,72.0,0.0,1,1.19,0.25,73.0,1.0,63.919
2023-01-03,cake,Cake,Bakery,1,,0,46.1,rain,0,1,4.0,4.0,0.0,1,12.99,4.5,4.0,0.0,2.703
2023-01-03,bread,Bread Loaf,Bakery,1,,0,46.1,rain,0,1,25.0,22.0,3.0,0,3.99,1.1,22.0,0.0,22.954
2023-01-03,rotisserie,Rotisserie Chicken,Hot Foods,1,,0,46.1,rain,0,1,40.0,31.0,9.0,0,7.99,3.2,31.0,0.0,32.85
2023-01-03,hotbar-lb,Hot Bar (per lb),Hot Foods,1,,0,46.1,rain,0,1,60.0,45.1,14.899999999999999,0,9.99,3.5,45.1,0.0,55.885
2023-01-03,sushi,Sushi Roll,Fresh Foods,1,,0,46.1,rain,0,1,23.0,14.0,9.0,0,8.99,3.8,14.0,0.0,16.505
2023-01-03,sub,Sub / Sandwich,Fresh Foods,1,,0,46.1,rain,0,1,21.0,15.0,6.0,0,5.99,1.8,15.0,0.0,14.861
2023-01-04,pizza-whole,Whole Pizza,Pizza,2,,0,51.5,cloudy,0,0,17.0,15.0,2.0,0,7.99,2.6,15.0,0.0,16.13
2023-01-04,pizza-slice,Pizza Slice,Pizza,2,,0,51.5,cloudy,0,0,40.0,33.0,7.0,0,3.49,0.9,33.0,0.0,32.828
2023-01-04,doughnut,Doughnut,Bakery,2,,0,51.5,cloudy,0,0,96.0,69.0,27.0,0,1.19,0.25,69.0,0.0,71.471
2023-01-04,cake,Cake,Bakery,2,,0,51.5,cloudy,0,0,5.0,2.0,3.0,0,12.99,4.5,2.0,0.0,3.27
2023-01-04,bread,Bread Loaf,Bakery,2,,0,51.5,cloudy,0,0,28.0,28.0,0.0,1,3.99,1.1,32.0,4.0,25.626
2023-01-04,rotisserie,Rotisserie Chicken,Hot Foods,2,,0,51.5,cloudy,0,0,40.0,37.0,3.0,0,7.99,3.2,37.0,0.0,36.131
2023-01-04,hotbar-lb,Hot Bar (per lb),Hot Foods,2,,0,51.5,cloudy,0,0,60.0,60.0,0.0,1,9.99,3.5,75.5,15.5,60.471
2023-01-04,sushi,Sushi Roll,Fresh Foods,2,,0,51.5,cloudy,0,0,24.0,19.0,5.0,0,8.99,3.8,19.0,0.0,18.701
2023-01-04,sub,Sub / Sandwich,Fresh Foods,2,,0,51.5,cloudy,0,0,23.0,21.0,2.0,0,5.99,1.8,21.0,0.0,16.751
2023-01-05,pizza-whole,Whole Pizza,Pizza,3,,0,56.4,sunny,0,0,20.0,15.0,5.0,0,7.99,2.6,15.0,0.0,18.938
2023-01-05,pizza-slice,Pizza Slice,Pizza,3,,0,56.4,sunny,0,0,40.0,35.0,5.0,0,3.49,0.9,35.0,0.0,34.481
2023-01-05,doughnut,Doughnut,Bakery,3,,0,56.4,sunny,0,0,84.0,57.0,27.0,0,1.19,0.25,57.0,0.0,79.058
2023-01-05,cake,Cake,Bakery,3,,0,56.4,sunny,0,0,5.0,3.0,2.0,0,12.99,4.5,3.0,0.0,3.865
2023-01-05,bread,Bread Loaf,Bakery,3,,0,56.4,sunny,0,0,32.0,27.0,5.0,0,3.99,1.1,27.0,0.0,28.307
2023-01-05,rotisserie,Rotisserie Chicken,Hot Foods,3,,0,56.4,sunny,0,0,40.0,34.0,6.0,0,7.99,3.2,34.0,0.0,39.374
2023-01-05,hotbar-lb,Hot Bar (per lb),Hot Foods,3,,0,56.4,sunny,0,0,65.0,49.6,15.399999999999999,0,9.99,3.5,49.6,0.0,59.499
2023-01-05,sushi,Sushi Roll,Fresh Foods,3,,0,56.4,sunny,0,0,27.0,23.0,4.0,0,8.99,3.8,23.0,0.0,20.935
2023-01-05,sub,Sub / Sandwich,Fresh Foods,3,,0,56.4,sunny,0,0,23.0,19.0,4.0,0,5.99,1.8,19.0,0.0,17.853
2023-01-06,pizza-whole,Whole Pizza,Pizza,4,,0,43.8,cloudy,0,0,34.0,29.0,5.0,0,7.99,2.6,29.0,0.0,30.391
2023-01-06,pizza-slice,Pizza Slice,Pizza,4,,0,43.8,cloudy,0,0,40.0,40.0,0.0,1,3.49,0.9,49.0,9.0,34.343
2023-01-06,doughnut,Doughnut,Bakery,4,,0,43.8,cloudy,0,0,96.0,96.0,0.0,1,1.19,0.25,123.0,27.0,88.919
2023-01-06,cake,Cake,Bakery,4,,0,43.8,cloudy,0,0,6.0,3.0,3.0,0,12.99,4.5,3.0,0.0,4.706
2023-01-06,bread,Bread Loaf,Bakery,4,,0,43.8,cloudy,0,0,32.0,29.0,3.0,0,3.99,1.1,29.0,0.0,29.637
2023-01-06,rotisserie,Rotisserie Chicken,Hot Foods,4,,0,43.8,cloudy,0,0,44.0,42.0,2.0,0,7.99,3.2,42.0,0.0,40.506
2023-01-06,hotbar-lb,Hot Bar (per lb),Hot Foods,4,,0,43.8,cloudy,0,0,55.0,55.0,0.0,1,9.99,3.5,62.9,7.899999999999999,57.067
2023-01-06,sushi,Sushi Roll,Fresh Foods,4,,0,43.8,cloudy,0,0,34.0,22.0,12.0,0,8.99,3.8,22.0,0.0,24.643
2023-01-06,sub,Sub / Sandwich,Fresh Foods,4,,0,43.8,cloudy,0,0,25.0,21.0,4.0,0,5.99,1.8,21.0,0.0,17.824
2023-01-07,pizza-whole,Whole Pizza,Pizza,5,,0,38.6,sunny,0,0,31.0,31.0,0.0,1,7.99,2.6,32.0,1.0,28.932
2023-01-07,pizza-slice,Pizza Slice,Pizza,5,,0,38.6,sunny,0,0,40.0,24.0,16.0,0,3.49,0.9,24.0,0.0,28.23
2023-01-07,doughnut,Doughnut,Bakery,5,,0,38.6,sunny,0,0,144.0,130.0,14.0,0,1.19,0.25,130.0,0.0,125.09
2023-01-07,cake,Cake,Bakery,5,,0,38.6,sunny,0,0,8.0,7.0,1.0,0,12.99,4.5,7.0,0.0,6.664
2023-01-07,bread,Bread Loaf,Bakery,5,,0,38.6,sunny,0,0,34.0,34.0,0.0,1,3.99,1.1,36.0,2.0,32.514
2023-01-07,rotisserie,Rotisserie Chicken,Hot Foods,5,,0,38.6,sunny,0,0,40.0,33.0,7.0,0,7.99,3.2,33.0,0.0,39.152
2023-01-07,hotbar-lb,Hot Bar (per lb),Hot Foods,5,,0,38.6,sunny,0,0,45.0,44.4,0.6000000000000014,0,9.99,3.5,44.4,0.0,46.646
2023-01-07,sushi,Sushi Roll,Fresh Foods,5,,0,38.6,sunny,0,0,26.0,21.0,5.0,0,8.99,3.8,21.0,0.0,20.735
2023-01-07,sub,Sub / Sandwich,Fresh Foods,5,,0,38.6,sunny,0,0,20.0,12.0,8.0,0,5.99,1.8,12.0,0.0,14.566
2023-01-08,pizza-whole,Whole Pizza,Pizza,6,,0,42.8,cloudy,0,0,22.0,14.0,8.0,0,7.99,2.6,14.0,0.0,19.011
2023-01-08,pizza-slice,Pizza Slice,Pizza,6,,0,42.8,cloudy,0,0,32.0,16.0,16.0,0,3.49,0.9,16.0,0.0,20.917
2023-01-08,doughnut,Doughnut,Bakery,6,,0,42.8,cloudy,0,0,168.0,104.0,64.0,0,1.19,0.25,104.0,0.0,114.379
2023-01-08,cake,Cake,Bakery,6,,0,42.8,cloudy,0,0,6.0,4.0,2.0,0,12.99,4.5,4.0,0.0,4.507
2023-01-08,bread,Bread Loaf,Bakery,6,,0,42.8,cloudy,0,0,33.0,22.0,11.0,0,3.99,1.1,22.0,0.0,25.564
2023-01-08,rotisserie,Rotisserie Chicken,Hot Foods,6,,0,42.8,cloudy,0,0,64.0,49.0,15.0,0,7.99,3.2,49.0,0.0,48.007
2023-01-08,hotbar-lb,Hot Bar (per lb),Hot Foods,6,,0,42.8,cloudy,0,0,50.0,35.5,14.5,0,9.99,3.5,35.5,0.0,40.959
2023-01-08,sushi,Sushi Roll,Fresh Foods,6,,0,42.8,cloudy,0,0,14.0,14.0,0.0,1,8.99,3.8,18.0,4.0,15.471
2023-01-08,sub,Sub / Sandwich,Fresh Foods,6,,0,42.8,cloudy,0,0,15.0,12.0,3.0,0,5.99,1.8,12.0,0.0,11.1
2023-01-09,pizza-whole,Whole Pizza,Pizza,0,,0,43.2,rain,0,0,17.0,9.0,8.0,0,7.99,2.6,9.0,0.0,13.693
2023-01-09,pizza-slice,Pizza Slice,Pizza,0,,0,43.2,rain,0,0,40.0,28.0,12.0,0,3.49,0.9,28.0,0.0,28.247
2023-01-09,doughnut,Doughnut,Bakery,0,,0,43.2,rain,0,0,84.0,62.0,22.0,0,1.19,0.25,62.0,0.0,64.772
2023-01-09,cake,Cake,Bakery,0,,0,43.2,rain,0,0,4.0,2.0,2.0,0,12.99,4.5,2.0,0.0,2.767
2023-01-09,bread,Bread Loaf,Bakery,0,,0,43.2,rain,0,0,27.0,20.0,7.0,0,3.99,1.1,20.0,0.0,22.993
2023-01-09,rotisserie,Rotisserie Chicken,Hot Foods,0,,0,43.2,rain,0,0,52.0,26.0,26.0,0,7.99,3.2,26.0,0.0,34.871
2023-01-09,hotbar-lb,Hot Bar (per lb),Hot Foods,0,,0,43.2,rain,0,0,65.0,63.4,1.6000000000000014,0,9.99,3.5,63.4,0.0,53.994
2023-01-09,sushi,Sushi Roll,Fresh Foods,0,,0,43.2,rain,0,0,22.0,13.0,9.0,0,8.99,3.8,13.0,0.0,15.585
2023-01-09,sub,Sub / Sandwich,Fresh Foods,0,,0,43.2,rain,0,0,21.0,12.0,9.0,0,5.99,1.8,12.0,0.0,14.668
2023-01-10,pizza-whole,Whole Pizza,Pizza,1,,0,45.2,sunny,0,0,11.0,11.0,0.0,1,7.99,2.6,13.0,2.0,14.983
2023-01-10,pizza-slice,Pizza Slice,Pizza,1,,0,45.2,sunny,0,0,40.0,38.0,2.0,0,3.49,0.9,38.0,0.0,32.964
2023-01-10,doughnut,Doughnut,Bakery,1,,0,45.2,sunny,0,0,96.0,79.0,17.0,0,1.19,0.25,79.0,0.0,70.963
2023-01-10,cake,Cake,Bakery,1,,0,45.2,sunny,0,0,5.0,4.0,1.0,0,12.99,4.5,4.0,0.0,3.015
2023-01-10,bread,Bread Loaf,Bakery,1,,0,45.2,sunny,0,0,26.0,26.0,0.0,1,3.99,1.1,40.0,14.0,25.396
2023-01-10,rotisserie,Rotisserie Chicken,Hot Foods,1,,0,45.2,sunny,0,0,36.0,36.0,0.0,1,7.99,3.2,38.0,2.0,36.64
2023-01-10,hotbar-lb,Hot Bar (per lb),Hot Foods,1,,0,45.2,sunny,0,0,55.0,55.0,0.0,1,9.99,3.5,62.2,7.200000000000003,62.493
2023-01-10,sushi,Sushi Roll,Fresh Foods,1,,0,45.2,sunny,0,0,16.0,16.0,0.0,1,8.99,3.8,23.0,7.0,18.303
2023-01-10,sub,Sub / Sandwich,Fresh Foods,1,,0,45.2,sunny,0,0,17.0,17.0,0.0,1,5.99,1.8,21.0,4.0,16.438
2023-01-11,pizza-whole,Whole Pizza,Pizza,2,,0,42.0,sunny,0,0,19.0,14.0,5.0,0,7.99,2.6,14.0,0.0,16.987
2023-01-11,pizza-slice,Pizza Slice,Pizza,2,,0,42.0,sunny,0,0,40.0,30.0,10.0,0,3.49,0.9,30.0,0.0,34.543
2023-01-11,doughnut,Doughnut,Bakery,2,,0,42.0,sunny,0,0,84.0,82.0,2.0,0,1.19,0.25,82.0,0.0,75.612
2023-01-11,cake,Cake,Bakery,2,,0,42.0,sunny,0,0,3.0,3.0,0.0,1,12.99,4.5,4.0,1.0,3.448
